pathway	LJP005_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h_rawk
Alanine and aspartate metabolism	0.2077134998675546
Aminoacyl-tRNA biosynthesis	0.001992773470960773
Aminosugar metabolism	0.33669850989596245
Androgen and estrogen synthesis and metabolism	0.9463769302554285
Arachidonic acid metabolism	0.8275398300714757
Arginine and proline metabolism	0.36216756652766985
Beta-Alanine metabolism	0.8829793195453651
Bile acid synthesis	0.009554364097425974
Butanoate metabolism	0.965332861264306
Cholesterol metabolism	0.33669850989596245
Chondroitin sulfate degradation	3.1867785941009054e-26
Chondroitin synthesis	1.9499804776533645e-27
Citric acid cycle	0.3313212708481879
CoA catabolism	0.0005026880400078381
CoA synthesis	0.0022791967474815934
Cytochrome metabolism	0.060898089829312656
Drug metabolism	7.491377738729536e-16
Eicosanoid metabolism	0.9428641053274316
Exchange/demand reaction	0.009554364097425974
Fatty acid oxidation	0.5016478120867475
Fatty acid synthesis	0.017087841665027324
Folate metabolism	0.009149091615987528
Fructose and mannose metabolism	0.07421168344034294
Galactose metabolism	0.36216756652766985
Glutamate metabolism	0.3753325711314408
Glutathione metabolism	0.7119029159542075
Glycerophospholipid metabolism	0.12640658105607014
Glycine, serine, alanine, and threonine metabolism	0.009554364097425974
Glycolysis/gluconeogenesis	0.5133816875812919
Glycosphingolipid metabolism	1.0822021788376027e-15
Glyoxylate and dicarboxylate metabolism	0.6841190746867972
Heme degradation	0.11581540922803836
Heme synthesis	0.4029101419889318
Heparan sulfate degradation	0.048594382107321234
Histidine metabolism	0.7119029159542075
Hyaluronan metabolism	0.9570783691811051
Inositol phosphate metabolism	0.9926292190329593
Keratan sulfate degradation	0.3753325711314408
Keratan sulfate synthesis	0.5289036074932211
Leukotriene metabolism	0.08258785021312962
Linoleate metabolism	0.0022791967474815934
Lysine metabolism	0.5736918401868804
Methionine and cysteine metabolism	1.0
N-glycan degradation	0.7694080110105229
N-glycan metabolism	0.28156106113012
N-glycan synthesis	0.019011313724161424
NAD metabolism	0.0005206630006998349
Nucleotide interconversion	0.061318794887426434
Nucleotide metabolism	0.7211136007165323
O-glycan metabolism	0.001992773470960773
Oxidative phosphorylation	0.846425300619844
Pentose phosphate pathway	0.019011313724161424
Phenylalanine metabolism	0.2540736773975994
Phosphatidylinositol phosphate metabolism	0.7238309631022317
Propanoate metabolism	0.41971595047218874
Protein degradation	0.08265585978495602
Protein modification	0.00043629413829919707
Purine catabolism	1.0
Purine synthesis	1.0
Pyrimidine catabolism	0.26780398612644934
Pyrimidine synthesis	0.12753885530776937
Pyruvate metabolism	0.44175780323297753
Selenoamino acid metabolism	0.0024675094466192044
Sphingolipid metabolism	0.3313212708481879
Squalene and cholesterol synthesis	0.009149091615987528
Starch and sucrose metabolism	1.0
Steroid metabolism	0.060898089829312656
Taurine and hypotaurine metabolism	0.0205991980092198
Tetrahydrobiopterin metabolism	0.08265585978495602
Thiamine metabolism	0.28236801920001375
Transport, endoplasmic reticular	0.0009000879185272394
Transport, extracellular	0.7119029159542075
Transport, golgi apparatus	0.29373464912000125
Transport, lysosomal	0.36721981865477143
Transport, mitochondrial	0.050129895753761526
Transport, nuclear	0.7119029159542075
Transport, peroxisomal	0.060898089829312656
Triacylglycerol synthesis	0.4029101419889318
Tryptophan metabolism	0.6841190746867972
Tyrosine metabolism	0.38610807546212933
Ubiquinone synthesis	0.36216756652766985
Urea cycle	0.0205991980092198
Valine, leucine, and isoleucine metabolism	0.11131627529885732
Vitamin A metabolism	0.15597298684052177
Vitamin B2 metabolism	0.03467916787676762
Vitamin C metabolism	0.0005206630006998349
Vitamin D metabolism	0.28156106113012
Xenobiotics metabolism	0.2888091966525768
